stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Toszek Sarnowska,2405074-01701,5902,50.459595,18.511066,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-01701/
Toszek Sarnowska,2405074-01702,5901,50.4595,18.511227,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-01702/
Toszek Wilkowicka,2405074-02401,5917,50.454292,18.5273,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02401/
Toszek Wilkowicka,2405074-02402,5918,50.45446,18.526987,https://rj.metropoliaztm.pl/rozklady/przystanek/2405074-02402/
Trynek Asnyka,2466011-20301,5515,50.27653,18.671602,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-20301/
Trynek Asnyka,2466011-20302,5514,50.27646,18.670486,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-20302/
Trynek Autostrada nż,2466011-16901,1933,50.26614,18.659803,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-16901/
Trynek Autostrada nż,2466011-16902,1934,50.26369,18.658762,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-16902/
Trynek Bardowskiego,2466011-16301,3773,50.276505,18.665174,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-16301/
Trynek Bardowskiego,2466011-16302,3774,50.276684,18.665197,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-16302/
Trynek Cichociemnych,2466011-17101,2130,50.28219,18.667488,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-17101/
Trynek Cichociemnych,2466011-17102,2131,50.28223,18.667526,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-17102/
Trynek Kilińskiego,2466011-19801,8285,50.277035,18.674084,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-19801/
Trynek Kilińskiego,2466011-19802,5516,50.27642,18.672825,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-19802/
Trynek Lotników,2466011-16801,1612,50.282246,18.676598,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-16801/
Trynek Lotników,2466011-16802,1613,50.28257,18.676367,https://rj.metropoliaztm.pl/rozklady/przystanek/2466011-16802/
